reference,global_x_mil,global_y_mil,datum_x_mm,datum_y_mm,drill_mm,pad_diameter_mm,source
H1,10164.0945,7546.2991,5.080000,5.080000,3.500,7.000,MB1939.PcbDoc Pads6/Data
H2,10164.0945,11477.0091,5.080000,104.920034,3.500,7.000,MB1939.PcbDoc Pads6/Data
H7,15669.6045,7546.2991,144.919954,5.080000,3.500,7.000,MB1939.PcbDoc Pads6/Data
H8,15669.6045,11477.0091,144.919954,104.920034,3.500,7.000,MB1939.PcbDoc Pads6/Data
H3,10624.0545,7589.6491,16.762984,6.181090,4.500,9.000,MB1939.PcbDoc Pads6/Data
H4,10624.0545,10957.3591,16.762984,91.720924,4.500,9.000,MB1939.PcbDoc Pads6/Data
H5,15209.8845,7589.6491,133.243066,6.181090,4.500,9.000,MB1939.PcbDoc Pads6/Data
H6,15209.8845,10957.3591,133.243066,91.720924,4.500,9.000,MB1939.PcbDoc Pads6/Data
